robo,data,ativo,lado,resultado,resultado_pct,hora,estrategia,lote,resultado_bruto,custos
alaska-&-square,03/01/2018,WIN,V,"0,00",,16:29,Reversao,16,"R$0,00",0
alaska-&-square,05/01/2018,WIN,V,"264,00",,12:02,Reversao,16,"R$264,00",0
alaska-&-square,05/01/2018,WIN,V,"264,00",,15:53,Reversao,16,"R$264,00",0
alaska-&-square,10/01/2018,WIN,V,"80,00",,12:51,Reversao,4,"R$80,00",0
alaska-&-square,12/01/2018,WIN,V,"80,00",,10:05,Reversao,4,"R$80,00",0
alaska-&-square,12/01/2018,WIN,V,"264,00",,14:32,Reversao,16,"R$264,00",0
alaska-&-square,15/01/2018,WIN,V,"264,00",,15:46,Reversao,16,"R$264,00",0
alaska-&-square,16/01/2018,WIN,V,"264,00",,14:34,Reversao,16,"R$264,00",0
alaska-&-square,18/01/2018,WIN,V,"264,00",,11:33,Reversao,16,"R$264,00",0
alaska-&-square,19/01/2018,WIN,V,"264,00",,11:40,Reversao,16,"R$264,00",0
alaska-&-square,24/01/2018,WIN,V,"264,00",,11:06,Reversao,16,"R$264,00",0
alaska-&-square,24/01/2018,WIN,V,"80,00",,12:33,Reversao,4,"R$80,00",0
alaska-&-square,24/01/2018,WIN,V,"80,00",,14:11,Reversao,4,"R$80,00",0
alaska-&-square,24/01/2018,WIN,V,"-920,00",,16:18,Reversao,16,"-R$920,00",0
alaska-&-square,26/01/2018,WIN,V,"80,00",,10:06,Reversao,4,"R$80,00",0
alaska-&-square,26/01/2018,WIN,V,"80,00",,14:42:40,Reversao,4,"R$80,00",0
alaska-&-square,26/01/2018,WIN,V,"264,00",,16:04:40,Reversao,16,"R$264,00",0
alaska-&-square,29/01/2018,WIN,V,"80,00",,11:08:40,Reversao,4,"R$80,00",0
alaska-&-square,31/01/2018,WIN,V,"80,00",,11:05:40,Reversao,4,"R$80,00",0
alaska-&-square,31/01/2018,WIN,V,"80,00",,15:41:40,Reversao,4,"R$80,00",0
alaska-&-square,01/02/2018,WIN,V,"80,00",,11:17:40,Reversao,4,"R$80,00",0
alaska-&-square,01/02/2018,WIN,V,"264,00",,14:11:40,Reversao,16,"R$264,00",0
alaska-&-square,02/02/2018,WIN,V,"80,00",,16:49:40,Reversao,4,"R$80,00",0
alaska-&-square,05/02/2018,WIN,V,"80,00",,12:42:40,Reversao,4,"R$80,00",0
alaska-&-square,05/02/2018,WIN,V,"80,00",,14:14:40,Reversao,4,"R$80,00",0
alaska-&-square,06/02/2018,WIN,V,"80,00",,11:01:40,Reversao,4,"R$80,00",0
alaska-&-square,06/02/2018,WIN,V,"264,00",,13:13:40,Reversao,16,"R$264,00",0
alaska-&-square,06/02/2018,WIN,V,"80,00",,16:02:40,Reversao,4,"R$80,00",0
alaska-&-square,07/02/2018,WIN,V,"80,00",,10:13:40,Reversao,4,"R$80,00",0
alaska-&-square,07/02/2018,WIN,V,"80,00",,13:30:40,Reversao,4,"R$80,00",0
alaska-&-square,08/02/2018,WIN,V,"-920,00",,10:29:40,Reversao,16,"-R$920,00",0
alaska-&-square,08/02/2018,WIN,V,"80,00",,11:10:40,Reversao,4,"R$80,00",0
alaska-&-square,08/02/2018,WIN,V,"80,00",,12:34:40,Reversao,4,"R$80,00",0
alaska-&-square,09/02/2018,WIN,V,"264,00",,12:17:40,Reversao,16,"R$264,00",0
alaska-&-square,09/02/2018,WIN,V,"80,00",,13:04:40,Reversao,4,"R$80,00",0
alaska-&-square,14/02/2018,WIN,V,"264,00",,14:06:40,Reversao,16,"R$264,00",0
alaska-&-square,15/02/2018,WIN,V,"-920,00",,12:32:40,Reversao,16,"-R$920,00",0
alaska-&-square,15/02/2018,WIN,V,"264,00",,13:11:20,Reversao,16,"R$264,00",0
alaska-&-square,15/02/2018,WIN,V,"264,00",,15:48:40,Reversao,16,"R$264,00",0
alaska-&-square,16/02/2018,WIN,V,"80,00",,16:11:40,Reversao,4,"R$80,00",0
alaska-&-square,19/02/2018,WIN,V,"80,00",,11:36:40,Reversao,4,"R$80,00",0
alaska-&-square,20/02/2018,WIN,V,"-920,00",,10:17:40,Reversao,16,"-R$920,00",0
alaska-&-square,22/02/2018,WIN,V,"80,00",,14:50:40,Reversao,4,"R$80,00",0
alaska-&-square,23/02/2018,WIN,V,"80,00",,15:03:20,Reversao,4,"R$80,00",0
alaska-&-square,26/02/2018,WIN,V,"80,00",,11:30:40,Reversao,4,"R$80,00",0
alaska-&-square,27/02/2018,WIN,V,"264,00",,11:54:40,Reversao,16,"R$264,00",0
alaska-&-square,28/02/2018,WIN,V,"80,00",,10:13:40,Reversao,4,"R$80,00",0
alaska-&-square,28/02/2018,WIN,V,"264,00",,11:45:40,Reversao,16,"R$264,00",0
alaska-&-square,28/02/2018,WIN,V,"80,00",,16:50:40,Reversao,4,"R$80,00",0
alaska-&-square,01/03/2018,WIN,V,"80,00",,11:40:40,Reversao,4,"R$80,00",0
alaska-&-square,01/03/2018,WIN,V,"80,00",,14:04:40,Reversao,4,"R$80,00",0
alaska-&-square,02/03/2018,WIN,V,"264,00",,15:13:20,Reversao,16,"R$264,00",0
alaska-&-square,09/03/2020,WIN,V,"80,00",,10:00:06,Reversao,4,"R$80,00",0
alaska-&-square,06/03/2018,WIN,V,"264,00",,10:49:40,Reversao,16,"R$264,00",0
alaska-&-square,06/03/2018,WIN,V,"264,00",,14:15:40,Reversao,16,"R$264,00",0
alaska-&-square,07/03/2018,WIN,V,"264,00",,11:20:40,Reversao,16,"R$264,00",0
alaska-&-square,07/03/2018,WIN,V,"264,00",,13:16:20,Reversao,16,"R$264,00",0
alaska-&-square,07/03/2018,WIN,V,"-920,00",,15:06:40,Reversao,16,"-R$920,00",0
alaska-&-square,08/03/2018,WIN,V,"80,00",,10:29:40,Reversao,4,"R$80,00",0
alaska-&-square,08/03/2018,WIN,V,"264,00",,14:15:20,Reversao,16,"R$264,00",0
alaska-&-square,09/03/2018,WIN,V,"80,00",,10:21:40,Reversao,4,"R$80,00",0
alaska-&-square,09/03/2018,WIN,V,"-920,00",,12:24:40,Reversao,16,"-R$920,00",0
alaska-&-square,09/03/2018,WIN,V,"80,00",,14:22:40,Reversao,4,"R$80,00",0
alaska-&-square,02/03/2020,WIN,V,"80,00",,10:00:10,Reversao,4,"R$80,00",0
alaska-&-square,30/03/2020,WIN,V,"264,00",,10:00:14,Reversao,16,"R$264,00",0
alaska-&-square,13/03/2018,WIN,V,"264,00",,10:35:20,Reversao,16,"R$264,00",0
alaska-&-square,13/03/2018,WIN,V,"80,00",,14:42:40,Reversao,4,"R$80,00",0
alaska-&-square,13/03/2018,WIN,V,"80,00",,16:38:40,Reversao,4,"R$80,00",0
alaska-&-square,14/03/2018,WIN,V,"264,00",,15:37:40,Reversao,16,"R$264,00",0
alaska-&-square,16/03/2018,WIN,V,"80,00",,10:08:40,Reversao,4,"R$80,00",0
alaska-&-square,16/03/2018,WIN,V,"80,00",,12:14:40,Reversao,4,"R$80,00",0
alaska-&-square,21/03/2022,WIN,V,"-920,00",,10:01:00,Reversao,16,"-R$920,00",0
alaska-&-square,17/03/2025,WIN,V,"-920,00",,10:12,Reversao,16,"-R$920,00",0
alaska-&-square,20/03/2018,WIN,V,"80,00",,14:33:40,Reversao,4,"R$80,00",0
alaska-&-square,21/03/2018,WIN,V,"264,00",,10:08:20,Reversao,16,"R$264,00",0
alaska-&-square,22/03/2018,WIN,V,"80,00",,10:03:40,Reversao,4,"R$80,00",0
alaska-&-square,22/03/2018,WIN,V,"264,00",,15:35:40,Reversao,16,"R$264,00",0
alaska-&-square,23/03/2018,WIN,V,"80,00",,12:41:40,Reversao,4,"R$80,00",0
alaska-&-square,23/03/2018,WIN,V,"80,00",,15:45:40,Reversao,4,"R$80,00",0
alaska-&-square,18/03/2019,WIN,V,"264,00",,10:12:40,Reversao,16,"R$264,00",0
alaska-&-square,27/03/2018,WIN,V,"80,00",,13:29:40,Reversao,4,"R$80,00",0
alaska-&-square,28/03/2018,WIN,V,"-920,00",,11:14:40,Reversao,16,"-R$920,00",0
alaska-&-square,28/03/2018,WIN,V,"264,00",,11:24:40,Reversao,16,"R$264,00",0
alaska-&-square,28/03/2018,WIN,V,"80,00",,16:04:40,Reversao,4,"R$80,00",0
alaska-&-square,02/04/2018,WIN,V,"80,00",,10:05:40,Reversao,4,"R$80,00",0
alaska-&-square,02/04/2018,WIN,V,"80,00",,11:02:40,Reversao,4,"R$80,00",0
alaska-&-square,02/04/2018,WIN,V,"264,00",,14:26:40,Reversao,16,"R$264,00",0
alaska-&-square,14/04/2020,WIN,V,"264,00",,10:01:04,Reversao,16,"R$264,00",0
alaska-&-square,07/04/2020,WIN,V,"80,00",,10:01:10,Reversao,4,"R$80,00",0
alaska-&-square,12/04/2022,WIN,V,"264,00",,10:09:00,Reversao,16,"R$264,00",0
alaska-&-square,04/04/2018,WIN,V,"80,00",,13:51:40,Reversao,4,"R$80,00",0
alaska-&-square,04/04/2018,WIN,V,"-920,00",,15:37:40,Reversao,16,"-R$920,00",0
alaska-&-square,05/04/2018,WIN,V,"80,00",,13:33:20,Reversao,4,"R$80,00",0
alaska-&-square,05/04/2018,WIN,V,"264,00",,16:36:20,Reversao,16,"R$264,00",0
alaska-&-square,06/04/2018,WIN,V,"80,00",,10:08:40,Reversao,4,"R$80,00",0
alaska-&-square,06/04/2018,WIN,V,"80,00",,11:03:40,Reversao,4,"R$80,00",0
alaska-&-square,06/04/2018,WIN,V,"80,00",,13:19:40,Reversao,4,"R$80,00",0
alaska-&-square,06/04/2018,WIN,V,"80,00",,14:49:40,Reversao,4,"R$80,00",0
alaska-&-square,09/04/2018,WIN,V,"80,00",,12:43:20,Reversao,4,"R$80,00",0
alaska-&-square,09/04/2018,WIN,V,"80,00",,16:14:40,Reversao,4,"R$80,00",0
alaska-&-square,09/04/2024,WIN,V,"-920,00",,10:17:00,Reversao,16,"-R$920,00",0
alaska-&-square,13/04/2021,WIN,V,"80,00",,10:17:04,Reversao,4,"R$80,00",0
alaska-&-square,11/04/2018,WIN,V,"264,00",,13:45:40,Reversao,16,"R$264,00",0
alaska-&-square,11/04/2018,WIN,V,"264,00",,16:15:40,Reversao,16,"R$264,00",0
alaska-&-square,12/04/2018,WIN,V,"80,00",,14:27:40,Reversao,4,"R$80,00",0
alaska-&-square,16/04/2018,WIN,V,"80,00",,10:03:40,Reversao,4,"R$80,00",0
alaska-&-square,16/04/2018,WIN,V,"264,00",,14:30:40,Reversao,16,"R$264,00",0
alaska-&-square,19/04/2018,WIN,V,"80,00",,11:01:40,Reversao,4,"R$80,00",0
alaska-&-square,19/04/2018,WIN,V,"264,00",,12:03:40,Reversao,16,"R$264,00",0
alaska-&-square,19/04/2018,WIN,V,"80,00",,14:06:40,Reversao,4,"R$80,00",0
alaska-&-square,23/04/2018,WIN,V,"80,00",,15:14:40,Reversao,4,"R$80,00",0
alaska-&-square,02/04/2019,WIN,V,"80,00",,10:28:40,Reversao,4,"R$80,00",0
alaska-&-square,25/04/2018,WIN,V,"80,00",,14:12:40,Reversao,4,"R$80,00",0
alaska-&-square,27/04/2018,WIN,V,"264,00",,10:38:40,Reversao,16,"R$264,00",0
alaska-&-square,27/04/2018,WIN,V,"80,00",,14:17:40,Reversao,4,"R$80,00",0
alaska-&-square,27/04/2018,WIN,V,"80,00",,16:28:40,Reversao,4,"R$80,00",0
alaska-&-square,30/04/2018,WIN,V,"80,00",,15:08:20,Reversao,4,"R$80,00",0
alaska-&-square,02/05/2018,WIN,V,"80,00",,13:20:20,Reversao,4,"R$80,00",0
alaska-&-square,02/05/2018,WIN,V,"80,00",,16:21:40,Reversao,4,"R$80,00",0
alaska-&-square,03/05/2018,WIN,V,"80,00",,11:19:40,Reversao,4,"R$80,00",0
alaska-&-square,03/05/2018,WIN,V,"264,00",,14:05:40,Reversao,16,"R$264,00",0
alaska-&-square,03/05/2018,WIN,V,"264,00",,15:27:40,Reversao,16,"R$264,00",0
alaska-&-square,07/05/2018,WIN,V,"264,00",,11:41:40,Reversao,16,"R$264,00",0
alaska-&-square,07/05/2018,WIN,V,"80,00",,15:44:40,Reversao,4,"R$80,00",0
alaska-&-square,08/05/2018,WIN,V,"80,00",,10:48:40,Reversao,4,"R$80,00",0
alaska-&-square,08/05/2018,WIN,V,"80,00",,12:06:40,Reversao,4,"R$80,00",0
alaska-&-square,08/05/2018,WIN,V,"80,00",,15:39:40,Reversao,4,"R$80,00",0
alaska-&-square,09/05/2018,WIN,V,"-920,00",,15:20:40,Reversao,16,"-R$920,00",0
alaska-&-square,11/05/2018,WIN,V,"80,00",,11:39:40,Reversao,4,"R$80,00",0
alaska-&-square,11/05/2018,WIN,V,"80,00",,15:55:40,Reversao,4,"R$80,00",0
alaska-&-square,14/05/2018,WIN,V,"-920,00",,10:07:40,Reversao,16,"-R$920,00",0
alaska-&-square,14/05/2018,WIN,V,"80,00",,11:04:40,Reversao,4,"R$80,00",0
alaska-&-square,15/05/2018,WIN,V,"264,00",,13:22:20,Reversao,16,"R$264,00",0
alaska-&-square,16/05/2018,WIN,V,"264,00",,11:14:40,Reversao,16,"R$264,00",0
alaska-&-square,16/05/2018,WIN,V,"80,00",,12:12:40,Reversao,4,"R$80,00",0
