robo,data,ativo,lado,resultado,resultado_pct,hora,estrategia,lote,resultado_bruto,custos
alaska-&-square,2018-01-03,WIN,VENDA,0.00,0,16:29,Reversao,16,0.00,0
alaska-&-square,2018-01-05,WIN,VENDA,264.00,0,12:02,Reversao,16,264.00,0
alaska-&-square,2018-01-05,WIN,VENDA,264.00,0,15:53,Reversao,16,264.00,0
alaska-&-square,2018-01-10,WIN,VENDA,80.00,0,12:51,Reversao,4,80.00,0
alaska-&-square,2018-01-12,WIN,VENDA,80.00,0,10:05,Reversao,4,80.00,0
alaska-&-square,2018-01-12,WIN,VENDA,264.00,0,14:32,Reversao,16,264.00,0
alaska-&-square,2018-01-15,WIN,VENDA,264.00,0,15:46,Reversao,16,264.00,0
alaska-&-square,2018-01-16,WIN,VENDA,264.00,0,14:34,Reversao,16,264.00,0
alaska-&-square,2018-01-18,WIN,VENDA,264.00,0,11:33,Reversao,16,264.00,0
alaska-&-square,2018-01-19,WIN,VENDA,264.00,0,11:40,Reversao,16,264.00,0
alaska-&-square,2018-01-24,WIN,VENDA,264.00,0,11:06,Reversao,16,264.00,0
alaska-&-square,2018-01-24,WIN,VENDA,80.00,0,12:33,Reversao,4,80.00,0
alaska-&-square,2018-01-24,WIN,VENDA,80.00,0,14:11,Reversao,4,80.00,0
alaska-&-square,2018-01-24,WIN,VENDA,-920.00,0,16:18,Reversao,16,-920.00,0
alaska-&-square,2018-01-26,WIN,VENDA,80.00,0,10:06,Reversao,4,80.00,0
alaska-&-square,2018-01-26,WIN,VENDA,80.00,0,14:42:40,Reversao,4,80.00,0
alaska-&-square,2018-01-26,WIN,VENDA,264.00,0,16:04:40,Reversao,16,264.00,0
alaska-&-square,2018-01-29,WIN,VENDA,80.00,0,11:08:40,Reversao,4,80.00,0
alaska-&-square,2018-01-31,WIN,VENDA,80.00,0,11:05:40,Reversao,4,80.00,0
alaska-&-square,2018-01-31,WIN,VENDA,80.00,0,15:41:40,Reversao,4,80.00,0
alaska-&-square,2018-02-01,WIN,VENDA,80.00,0,11:17:40,Reversao,4,80.00,0
alaska-&-square,2018-02-01,WIN,VENDA,264.00,0,14:11:40,Reversao,16,264.00,0
alaska-&-square,2018-02-02,WIN,VENDA,80.00,0,16:49:40,Reversao,4,80.00,0
alaska-&-square,2018-02-05,WIN,VENDA,80.00,0,12:42:40,Reversao,4,80.00,0
alaska-&-square,2018-02-05,WIN,VENDA,80.00,0,14:14:40,Reversao,4,80.00,0
alaska-&-square,2018-02-06,WIN,VENDA,80.00,0,11:01:40,Reversao,4,80.00,0
alaska-&-square,2018-02-06,WIN,VENDA,264.00,0,13:13:40,Reversao,16,264.00,0
