Data;Hora;Estratégia;Ativo;Lote;Direção;Resultado Bruto;Custos;Resultado Liquido
03/01/2018;16:29:40;alaska-&-square;WIN;16;Venda;0,00;0;0,00
05/01/2018;12:02:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
05/01/2018;15:53:20;alaska-&-square;WIN;16;Venda;264,00;0;264,00
10/01/2018;12:51:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
12/01/2018;10:05:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
12/01/2018;14:32:20;alaska-&-square;WIN;16;Venda;264,00;0;264,00
15/01/2018;15:46:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
16/01/2018;14:34:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
18/01/2018;11:33:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
19/01/2018;11:40:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
24/01/2018;11:06:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
24/01/2018;12:33:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
24/01/2018;14:11:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
24/01/2018;16:18:40;alaska-&-square;WIN;16;Venda;-920,00;0;-920,00
26/01/2018;10:06:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
26/01/2018;14:42:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
26/01/2018;16:04:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
29/01/2018;11:08:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
31/01/2018;11:05:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
31/01/2018;15:41:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
01/02/2018;11:17:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
01/02/2018;14:11:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
02/02/2018;16:49:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
05/02/2018;12:42:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
05/02/2018;14:14:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
06/02/2018;11:01:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
06/02/2018;13:13:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
06/02/2018;16:02:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
07/02/2018;10:13:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
07/02/2018;13:30:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
08/02/2018;10:29:40;alaska-&-square;WIN;16;Venda;-920,00;0;-920,00
08/02/2018;11:10:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
08/02/2018;12:34:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
09/02/2018;12:17:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
09/02/2018;13:04:40;alaska-&-square;WIN;4;Venda;80,00;0;80,00
14/02/2018;14:06:40;alaska-&-square;WIN;16;Venda;264,00;0;264,00
